objectid,evidencnecislovrtupomocne,evidencnecislovrtu,povodneevidencnecislo,mapa,povodie,hydrorajon,lokalita,prevadzajucaorganizacia,suradnicax,suradnicay,suradnicazteren,suradnicazpazenie,hlbkavrtu,typvrtu,typvrtupopis,archivnecislospravy,archivnecisloretazec,utajeniespravydo,spracovaldatum,poznamka,pdf
3063,M-33-131-B-b/24,24,HAS-2,M-33-131-B-b,Morava,2 N,Senica,,1228961.41,547283.26,216,,10,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,82504,,,953683200000,,131Bb24.pdf
3443,M-33-132-A-a/8,8,HB-3,M-33-132-A-a,Morava,44 N-M,Brezová pod Bradlom,,1229042,539229.13,240,,80,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,56675,,,446947200000,,132Aa8.pdf
3500,M-33-132-A-b/42,42,HDL-1,M-33-132-A-b,Dunaj,53 MN,Dolný Lopašov,,1235874,529975.13,235,,45,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,77606,,,723340800000,,132Ab42.pdf
3583,M-33-132-B-a/1,1,HV-1,M-33-132-B-a,Váh,48 Q,Piešťany,3012,1236006,518074.59,159.23,160.03,20,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,22028,,,27388800000,,132Ba1.pdf
3584,M-33-132-B-a/2,2,H-2,M-33-132-B-a,Váh,48 Q,Piešťany,3012,1236031,517837.09,160.08,160.48,20,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,22028,,,27388800000,,132Ba2.pdf
3587,M-33-132-B-a/5,5,H-5,M-33-132-B-a,Váh,48 Q,Piešťany,3012,1235844,517709.81,160.5,160.9,20,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,22028,,,27388800000,,132Ba5.pdf
3643,M-33-132-B-a/77,77,P-3,M-33-132-B-a,Váh,48 Q,Piešťany,255/71,1236022,514278,160,160.5,13.5,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,31103,,,157420800000,,132Ba77.pdf
3659,M-33-132-B-a/93,93,HPT-1,M-33-132-B-a,Váh,48 Q,Piešťany,47/78,1235862,515714.09,161,,18.5,3,"širokoprofilový vrt (Ø vŕtania nad 600 mm) s obyčajnou pitnou a úžitkovou vodou, kopaná studňa",44361,,,313632000000,,132Ba93.pdf
3660,M-33-132-B-a/94,94,HVP-1,M-33-132-B-a,Váh,48 Q,Piešťany,158/78,1235805,513947.31,160,,16,3,"širokoprofilový vrt (Ø vŕtania nad 600 mm) s obyčajnou pitnou a úžitkovou vodou, kopaná studňa",45445,,,,,132Ba94.pdf
3754,M-33-132-B-a/218,218,HEP-1B,M-33-132-B-a,Váh,48 Q,Piešťany,,1235921.156,516599.679,161.077,,6,4,monitorovací vrt,93312,,,1455667200000,,132Ba218.pdf
